NBA Players - Floater Statistics
--------------------------------------------------------------------------------
                  Player  Floaters Attempted  Floaters Made  Floaters Attempted Per Game  Floaters Made Per Game
          Nick Smith Jr.                   4              1                         0.14                    0.04
            Jock Landale                   1              1                         0.04                    0.04
           Malik Beasley                   3              2                         0.06                    0.04
       Spencer Dinwiddie                   7              2                         0.15                    0.04
               Ja Morant                   4              1                         0.14                    0.04
            Jalen Wilson                   4              2                         0.08                    0.04
          Ausar Thompson                   3              1                         0.12                    0.04
            Keon Johnson                   6              2                         0.13                    0.04
            Cole Anthony                   3              2                         0.07                    0.04
            Jaylen Wells                   3              2                         0.06                    0.04
           Jarrett Allen                   3              2                         0.06                    0.04
              Seth Curry                   2              1                         0.05                    0.03
            Cam Whitmore                   3              1                         0.10                    0.03
          Damian Lillard                   5              1                         0.13                    0.03
            Santi Aldama                   2              1                         0.05                    0.03
            Shake Milton                   2              1                         0.05                    0.03
             LaMelo Ball                   3              1                         0.10                    0.03
            Oso Ighodaro                   1              1                         0.03                    0.03
            John Collins                   6              1                         0.20                    0.03
            Noah Clowney                   1              1                         0.03                    0.03
           Grayson Allen                   2              1                         0.05                    0.03
         Dejounte Murray                   5              1                         0.16                    0.03
           Devin Vassell                   2              1                         0.06                    0.03
             Kel'el Ware                   4              1                         0.12                    0.03
          Gary Payton II                   1              1                         0.03                    0.03
   Sandro Mamukelashvili                   1              1                         0.03                    0.03
      Brandin Podziemski                   2              1                         0.06                    0.03
              RJ Barrett                   7              1                         0.17                    0.03
            Drew Eubanks                   3              1                         0.08                    0.03
             Brook Lopez                   2              1                         0.04                    0.02
      Carlton Carrington                   2              1                         0.04                    0.02
         P.J. Washington                   5              1                         0.12                    0.02
        Tim Hardaway Jr.                   2              1                         0.05                    0.02
       Derrick Jones Jr.                   3              1                         0.07                    0.02
            De'Aaron Fox                   3              1                         0.07                    0.02
          Shaedon Sharpe                   1              1                         0.02                    0.02
               Josh Hart                   2              1                         0.04                    0.02
Kentavious Caldwell-Pope                   1              1                         0.02                    0.02
             Bam Adebayo                   6              1                         0.13                    0.02
            Jordan Poole                   7              1                         0.17                    0.02
             Moses Moody                   3              1                         0.07                    0.02
             Jalen Green                   5              1                         0.10                    0.02
           Fred VanVleet                   2              1                         0.04                    0.02
          Onyeka Okongwu                   2              1                         0.05                    0.02
       Tyrese Haliburton                   5              1                         0.11                    0.02
           Royce O'Neale                   2              1                         0.05                    0.02
         Davion Mitchell                   2              1                         0.05                    0.02
       Julian Champagnie                   1              1                         0.02                    0.02
             Jamal Shead                   5              1                         0.12                    0.02
         Julian Phillips                   1              1                         0.02                    0.02
             Dalen Terry                   1              1                         0.02                    0.02
        Jaime Jaquez Jr.                   4              1                         0.10                    0.02
             Mike Conley                   3              1                         0.07                    0.02
      Bennedict Mathurin                   2              1                         0.04                    0.02
           Georges Niang                   3              1                         0.06                    0.02
             Evan Mobley                   2              1                         0.05                    0.02
              OG Anunoby                   1              1                         0.02                    0.02
       Scotty Pippen Jr.                   4              1                         0.08                    0.02
           Dillon Brooks                   8              1                         0.18                    0.02
           Keegan Murray                   5              1                         0.11                    0.02
         Duncan Robinson                   1              1                         0.02                    0.02
           Anthony Black                   3              1                         0.07                    0.02
            Max Christie                   1              1                         0.02                    0.02
              Chris Paul                   1              1                         0.02                    0.02
           Matas Buzelis                   2              1                         0.04                    0.02
          Isaiah Stewart                   1              1                         0.02                    0.02
             Zach LaVine                   1              1                         0.02                    0.02
          Kyshawn George                   1              1                         0.02                    0.02
          Charles Bassey                   1              0                         0.03                    0.00
              Vít Krejčí                   2              0                         0.06                    0.00
         Dominick Barlow                   2              0                         0.17                    0.00
             Gradey Dick                   1              0                         0.02                    0.00
             Eric Gordon                   1              0                         0.03                    0.00
           Javonte Green                   2              0                         0.05                    0.00
            Monté Morris                   1              0                         0.03                    0.00
           Aaron Wiggins                   1              0                         0.02                    0.00
              Trey Lyles                   1              0                         0.03                    0.00
           Cason Wallace                   2              0                         0.04                    0.00
        Trey Jemison III                   1              0                         0.05                    0.00
          Karlo Matković                   1              0                         0.09                    0.00
             Jalen Suggs                   1              0                         0.03                    0.00
          T.J. McConnell                   1              0                         0.02                    0.00
        Josh Christopher                   1              0                         0.12                    0.00
          Keldon Johnson                   4              0                         0.09                    0.00
          Gary Trent Jr.                   1              0                         0.02                    0.00
             Amir Coffey                   1              0                         0.02                    0.00
        MarJon Beauchamp                   1              0                         0.04                    0.00
        Lindy Waters III                   1              0                         0.03                    0.00
              Obi Toppin                   1              0                         0.02                    0.00
         Malcolm Brogdon                   3              0                         0.16                    0.00
              Duop Reath                   1              0                         0.04                    0.00
            Aaron Gordon                   1              0                         0.04                    0.00
              Tari Eason                   1              0                         0.03                    0.00
         DaQuan Jeffries                   1              0                         0.07                    0.00
           Tobias Harris                   2              0                         0.04                    0.00
             Josh Minott                   1              0                         0.03                    0.00
         Ziaire Williams                   2              0                         0.06                    0.00
         Jaden McDaniels                   5              0                         0.10                    0.00
        Craig Porter Jr.                   1              0                         0.03                    0.00
         Lauri Markkanen                   2              0                         0.06                    0.00
